# data format logged from lagr .. this is local pose info
# timestamp  speed  X   Y   Z   roll  pitch   yaw
1268621728.068048 0.000000 -136.631882 18.113749 0.045701 -0.053773 -0.007000 2.988588
1268621728.118093 0.000000 -136.631882 18.113749 0.045701 -0.053751 -0.007041 2.988588
1268621728.168047 0.000000 -136.631882 18.113749 0.045701 -0.053490 -0.007134 2.988588
1268621728.218073 0.000000 -136.631882 18.113749 0.045701 -0.053810 -0.007094 2.988588
1268621728.268044 0.000000 -136.631882 18.113749 0.045701 -0.053688 -0.007169 2.988588
1268621728.318047 0.000000 -136.631882 18.113749 0.045701 -0.053615 -0.007226 2.988588
1268621728.368045 0.000000 -136.631882 18.113749 0.045701 -0.053580 -0.007163 2.988588
1268621728.418044 0.000000 -136.631882 18.113749 0.045701 -0.053625 -0.007237 2.988588
1268621728.468046 0.000000 -136.631882 18.113749 0.045701 -0.053870 -0.007292 2.988588
1268621728.518048 0.000000 -136.631882 18.113749 0.045701 -0.053790 -0.007315 2.988588
1268621728.568050 0.000000 -136.631882 18.113749 0.045701 -0.053414 -0.007216 2.988588
1268621728.618050 0.000000 -136.631882 18.113749 0.045701 -0.053614 -0.007381 2.988588
1268621728.668069 0.000000 -136.631882 18.113749 0.045701 -0.053606 -0.007152 2.988588
1268621728.718048 0.000000 -136.631882 18.113749 0.045701 -0.053664 -0.007053 2.988588
1268621728.768061 0.000000 -136.631882 18.113749 0.045701 -0.053569 -0.007372 2.988588
1268621728.818050 0.000000 -136.631882 18.113749 0.045701 -0.053689 -0.007106 2.988588
1268621728.868070 0.000000 -136.631882 18.113749 0.045701 -0.053902 -0.006841 2.988588
1268621728.928122 0.000000 -136.631882 18.113749 0.045701 -0.053755 -0.006852 2.988588
1268621728.968049 0.000000 -136.631882 18.113749 0.045701 -0.053828 -0.006794 2.988588
1268621729.018057 0.000000 -136.631882 18.113749 0.045701 -0.053689 -0.006661 2.988588
1268621729.068055 0.000000 -136.631882 18.113749 0.045701 -0.054111 -0.006596 2.988588
1268621729.118046 0.000000 -136.631882 18.113749 0.045701 -0.054327 -0.006068 2.988588
1268621729.168041 0.000000 -136.631882 18.113749 0.045701 -0.054127 -0.006282 2.988588
1268621729.218056 0.000000 -136.631882 18.113749 0.045701 -0.054054 -0.006013 2.988588
1268621729.268056 0.000000 -136.631882 18.113749 0.045701 -0.054054 -0.006187 2.988588
1268621729.318070 0.000000 -136.631882 18.113749 0.045701 -0.053696 -0.006104 2.988588
1268621729.368050 0.000000 -136.631882 18.113749 0.045701 -0.053761 -0.006305 2.988588
1268621729.418046 0.000000 -136.631882 18.113749 0.045701 -0.053928 -0.006255 2.988588
1268621729.468060 0.000000 -136.631882 18.113749 0.045701 -0.054216 -0.006480 2.988588
1268621729.518044 0.000000 -136.631882 18.113749 0.045701 -0.054331 -0.006289 2.988588
1268621729.568044 0.000000 -136.631882 18.113749 0.045701 -0.054425 -0.006177 2.988588
1268621729.618050 0.000000 -136.631882 18.113749 0.045701 -0.054177 -0.006197 2.988588
1268621729.668086 0.000000 -136.631882 18.113749 0.045701 -0.054193 -0.006138 2.988588
1268621729.718051 0.000000 -136.631882 18.113749 0.045701 -0.053943 -0.006130 2.988588
1268621729.768050 0.000000 -136.631882 18.113749 0.045701 -0.053841 -0.006079 2.988588
1268621729.818050 0.000000 -136.631882 18.113749 0.045701 -0.053608 -0.006488 2.988588
1268621729.868107 0.000000 -136.631882 18.113749 0.045701 -0.053552 -0.006616 2.988588
1268621729.918062 0.000000 -136.631882 18.113749 0.045701 -0.053816 -0.006629 2.988588
1268621729.968046 0.000000 -136.631882 18.113749 0.045701 -0.053859 -0.006526 2.988588
1268621730.018043 0.000000 -136.631882 18.113749 0.045701 -0.053760 -0.006740 2.988588
1268621730.068192 0.000000 -136.631882 18.113749 0.045701 -0.053841 -0.006990 2.988588
1268621730.118045 0.000000 -136.631882 18.113749 0.045701 -0.053989 -0.006914 2.988588
1268621730.168049 0.000000 -136.631882 18.113749 0.045701 -0.053827 -0.006862 2.988588
1268621730.218051 0.000000 -136.631882 18.113749 0.045701 -0.053784 -0.006894 2.988588
1268621730.268056 0.000000 -136.631882 18.113749 0.045701 -0.053740 -0.006903 2.988588
1268621730.318038 0.000000 -136.631882 18.113749 0.045701 -0.053656 -0.007060 2.988588
1268621730.368041 0.000000 -136.631882 18.113749 0.045701 -0.053779 -0.007159 2.988588
1268621730.418061 0.000000 -136.631882 18.113749 0.045701 -0.053784 -0.007300 2.988588
1268621730.468070 0.000000 -136.631882 18.113749 0.045701 -0.053833 -0.007293 2.988588
1268621730.518044 0.000000 -136.631882 18.113749 0.045701 -0.054001 -0.007263 2.988588
1268621730.568048 0.000000 -136.631882 18.113749 0.045701 -0.053936 -0.007426 2.988588
1268621730.618044 0.000000 -136.631882 18.113749 0.045701 -0.054064 -0.007428 2.988588
1268621730.668089 0.000000 -136.631882 18.113749 0.045701 -0.053916 -0.007425 2.988588
1268621730.718036 0.000000 -136.631882 18.113749 0.045701 -0.053656 -0.007284 2.988588
1268621730.768048 0.000000 -136.631882 18.113749 0.045701 -0.053785 -0.007382 2.988588
1268621730.818052 0.000000 -136.631882 18.113749 0.045701 -0.053709 -0.007164 2.988588
1268621730.868061 0.000000 -136.631882 18.113749 0.045701 -0.053635 -0.007123 2.988588
1268621730.918080 0.000000 -136.631882 18.113749 0.045701 -0.053685 -0.007317 2.988588
1268621730.968384 0.000000 -136.631882 18.113749 0.045701 -0.053677 -0.007197 2.988588
