# tstamp	temp	rate	angle	adjusted_rate
1268594657.259568 33.549999 -0.009150 -0.033092 0.022265
1268594657.359574 33.500000 -0.024400 -0.032391 0.007015
1268594657.459590 33.500000 -0.048800 -0.034129 -0.017385
1268594657.659594 33.549999 -0.070150 -0.036691 -0.038735
1268594657.759600 33.549999 -0.067100 -0.040260 -0.035685
1268594657.859609 33.549999 -0.064050 -0.043523 -0.032635
1268594657.959613 33.549999 -0.009150 -0.041297 0.022265
1268594658.059620 33.549999 -0.057950 -0.043950 -0.026535
1268594658.159627 33.549999 -0.070150 -0.047824 -0.038735
1268594658.259652 33.549999 -0.027450 -0.047427 0.003965
1268594658.459647 33.549999 -0.067100 -0.054259 -0.035685
1268594658.559652 33.549999 -0.018300 -0.052948 0.013115
1268594658.659658 33.549999 -0.036600 -0.053466 -0.005185
1268594658.759666 33.549999 -0.024400 -0.052765 0.007015
1268594658.859672 33.549999 -0.070150 -0.056638 -0.038735
1268594658.959679 33.549999 -0.051850 -0.058682 -0.020435
1268594659.059704 33.549999 -0.054900 -0.061030 -0.023485
1268594659.259699 33.549999 -0.070150 -0.064507 -0.038735
1268594659.359705 33.549999 -0.067100 -0.068076 -0.035685
1268594659.459855 33.549999 -0.021350 -0.067069 0.010065
1268594659.659724 33.549999 -0.042700 -0.067801 -0.011285
1268594659.759731 33.549999 -0.054900 -0.070150 -0.023485
1268594659.859737 33.549999 -0.027450 -0.069753 0.003965
1268594659.959745 33.549999 -0.006100 -0.067222 0.025315
1268594660.059750 33.549999 -0.012200 -0.065300 0.019215
1268594660.159756 33.549999 -0.018300 -0.063989 0.013115
1268594660.259765 33.549999 -0.051850 -0.066032 -0.020435
1268594660.359770 33.549999 -0.042700 -0.067161 -0.011285
1268594660.459777 33.549999 -0.021350 -0.066154 0.010065
1268594660.559783 33.549999 -0.067100 -0.069723 -0.035685
1268594660.659789 33.549999 -0.054900 -0.072071 -0.023485
1268594660.759797 33.549999 -0.051850 -0.074115 -0.020435
1268594660.859802 33.549999 -0.003050 -0.071278 0.028365
1268594660.959810 33.549999 -0.033550 -0.071492 -0.002135
1268594661.059816 33.549999 -0.021350 -0.070485 0.010065
1268594661.159830 33.549999 -0.039650 -0.071309 -0.008235
1268594661.355836 33.549999 -0.012200 -0.069906 0.019215
1268594661.455842 33.549999 -0.042700 -0.071034 -0.011285
1268594661.559848 33.549999 -0.006100 -0.068503 0.025315
1268594661.759861 33.549999 -0.027450 -0.065880 0.003965
1268594661.955875 33.549999 -0.064050 -0.069967 -0.032635
1268594662.055881 33.549999 -0.012200 -0.068045 0.019215
1268594662.155898 33.549999 -0.021350 -0.067039 0.010065
1268594662.355901 33.549999 -0.027450 -0.062891 0.003965
1268594662.455909 33.549999 -0.003050 -0.060054 0.028365
1268594662.555916 33.549999 -0.054900 -0.062403 -0.023485
1268594662.655921 33.549999 -0.067100 -0.065971 -0.035685
1268594662.755930 33.549999 -0.067100 -0.069540 -0.035685
1268594662.855934 33.549999 -0.054900 -0.071888 -0.023485
1268594662.955941 33.549999 -0.036600 -0.072407 -0.005185
1268594663.056016 33.549999 -0.051850 -0.074450 -0.020435
1268594663.255970 33.549999 -0.009150 -0.074267 0.022265
1268594663.355971 33.549999 -0.006100 -0.071736 0.025315
1268594663.456551 33.549999 -0.088450 -0.077439 -0.057035
1268594663.655986 33.549999 -0.042700 -0.074511 -0.011285
1268594663.755992 33.549999 -0.048800 -0.076250 -0.017385
1268594663.856374 33.549999 -0.064050 -0.079513 -0.032635
1268594664.056012 33.549999 -0.048800 -0.081465 -0.017385
1268594664.156019 33.549999 -0.036600 -0.081984 -0.005185
1268594664.256026 33.549999 -0.006100 -0.079452 0.025315
1268594664.356036 33.549999 -0.057950 -0.082106 -0.026535
1268594664.456038 33.549999 -0.024400 -0.081405 0.007015
1268594664.556045 33.549999 -0.073200 -0.085583 -0.041785
1268594664.656051 33.549999 -0.054900 -0.087932 -0.023485
1268594664.756059 33.549999 -0.027450 -0.087535 0.003965
1268594664.856065 33.549999 -0.070150 -0.091409 -0.038735
1268594664.956073 33.549999 -0.009150 -0.089182 0.022265
1268594665.056127 33.549999 -0.018300 -0.087871 0.013115
1268594665.256091 33.549999 -0.012200 -0.087993 0.019215
1268594665.356098 33.549999 -0.039650 -0.088816 -0.008235
1268594665.456104 33.549999 -0.036600 -0.089335 -0.005185
1268594665.556110 33.549999 -0.012200 -0.087413 0.019215
1268594665.656117 33.549999 -0.051850 -0.089457 -0.020435
1268594665.756124 33.549999 -0.036600 -0.089975 -0.005185
1268594665.856131 33.549999 -0.051850 -0.092019 -0.020435
1268594665.956135 33.549999 -0.051850 -0.094062 -0.020435
1268594666.056243 33.549999 0.003050 -0.090616 0.034465
1268594666.256157 33.549999 -0.024400 -0.092263 0.007015
1268594666.356165 33.549999 0.003050 -0.088816 0.034465
1268594666.456169 33.549999 -0.070150 -0.092690 -0.038735
1268594666.556191 33.549999 -0.018300 -0.091378 0.013115
1268594666.756189 33.549999 -0.027450 -0.091195 0.003965
1268594666.856196 33.549999 -0.024400 -0.090494 0.007015
1268594666.956201 33.549999 -0.021350 -0.089487 0.010065
1268594667.056272 33.549999 -0.006100 -0.086956 0.025315
1268594667.256222 33.549999 -0.009150 -0.087078 0.022265
1268594667.356228 33.549999 -0.057950 -0.089731 -0.026535
1268594667.456234 33.549999 -0.009150 -0.087505 0.022265
1268594667.556244 33.549999 -0.042700 -0.088633 -0.011285
1268594667.656248 33.549999 -0.042700 -0.089762 -0.011285
1268594667.756679 33.549999 0.015250 -0.085095 0.046665
1268594667.956267 33.549999 -0.024400 -0.089182 0.007015
1268594668.056274 33.549999 -0.036600 -0.089701 -0.005185
1268594668.156281 33.549999 -0.039650 -0.090524 -0.008235
1268594668.256301 33.549999 -0.039650 -0.091348 -0.008235
1268594668.456300 33.549999 -0.088450 -0.099400 -0.057035
1268594668.556307 33.549999 -0.051850 -0.101443 -0.020435
1268594668.656314 33.549999 -0.070150 -0.105317 -0.038735
1268594668.756322 33.549999 -0.057950 -0.107970 -0.026535
1268594668.856326 33.549999 0.006100 -0.104219 0.037515
1268594668.956338 33.549999 -0.057950 -0.106872 -0.026535
1268594669.056390 33.549999 -0.048800 -0.108611 -0.017385
1268594669.256352 33.549999 -0.021350 -0.109648 0.010065
1268594669.356359 33.549999 -0.021350 -0.108641 0.010065
1268594669.456366 33.549999 -0.082350 -0.113735 -0.050935
1268594669.556382 33.549999 -0.064050 -0.116998 -0.032635
1268594669.656397 33.549999 -0.042700 -0.118127 -0.011285
1268594669.856392 33.549999 -0.051850 -0.119469 -0.020435
1268594669.956402 33.549999 -0.079300 -0.124257 -0.047885
1268594670.056405 33.549999 -0.036600 -0.124776 -0.005185
1268594670.156412 33.549999 -0.054900 -0.127124 -0.023485
1268594670.256417 33.549999 -0.054900 -0.129473 -0.023485
1268594670.356429 33.549999 -0.024400 -0.128771 0.007015
1268594670.456431 33.549999 -0.021350 -0.127765 0.010065
1268594670.556437 33.549999 -0.070150 -0.131638 -0.038735
1268594670.656444 33.549999 -0.021350 -0.130632 0.010065
1268594670.756450 33.549999 -0.054900 -0.132980 -0.023485
1268594670.856458 33.549999 -0.082350 -0.138074 -0.050935
1268594670.956463 33.549999 -0.036600 -0.138592 -0.005185
1268594671.056549 33.549999 -0.036600 -0.139111 -0.005185
1268594671.256483 33.549999 0.003050 -0.137403 0.034465
1268594671.356490 33.549999 -0.024400 -0.136701 0.007015
1268594671.456496 33.549999 -0.027450 -0.136305 0.003965
1268594671.556504 33.549999 -0.057950 -0.138958 -0.026535
1268594671.656511 33.549999 -0.036600 -0.139477 -0.005185
1268594671.756534 33.549999 -0.051850 -0.141520 -0.020435
1268594671.956529 33.549999 -0.033550 -0.147132 -0.002135
1268594672.056536 33.549999 -0.018300 -0.145821 0.013115
1268594672.156542 33.549999 -0.006100 -0.143289 0.025315
1268594672.256550 33.549999 -0.021350 -0.142283 0.010065
1268594672.356557 33.549999 -0.057950 -0.144936 -0.026535
1268594672.456574 33.549999 -0.051850 -0.146980 -0.020435
1268594672.656575 33.549999 -0.042700 -0.149847 -0.011285
1268594672.756583 33.549999 -0.021350 -0.148840 0.010065
1268594672.856588 33.549999 -0.024400 -0.148139 0.007015
1268594672.956594 33.549999 0.012200 -0.143777 0.043615
1268594673.056677 33.549999 -0.064050 -0.147041 -0.032635
1268594673.256615 33.549999 -0.057950 -0.152043 -0.026535
1268594673.356621 33.549999 -0.039650 -0.152866 -0.008235
1268594673.457655 33.549999 -0.033550 -0.153080 -0.002135
1268594673.656642 33.549999 -0.003050 -0.151372 0.028365
1268594673.756650 33.549999 -0.073200 -0.155550 -0.041785
1268594673.856662 33.549999 -0.042700 -0.156679 -0.011285
1268594673.956663 33.549999 -0.027450 -0.156282 0.003965
1268594674.056668 33.549999 0.009150 -0.152226 0.040565
1268594674.156675 33.549999 -0.012200 -0.150304 0.019215
1268594674.256681 33.549999 -0.003050 -0.147468 0.028365
1268594674.356689 33.549999 -0.048800 -0.149206 -0.017385
1268594674.456694 33.549999 -0.033550 -0.149420 -0.002135
1268594674.556724 33.549999 -0.054900 -0.151768 -0.023485
1268594674.756717 33.549999 -0.057950 -0.156770 -0.026535
1268594674.856722 33.549999 -0.057950 -0.159424 -0.026535
1268594674.956727 33.549999 -0.082350 -0.164517 -0.050935
1268594675.056804 33.549999 -0.021350 -0.163511 0.010065
1268594675.256746 33.549999 0.003050 -0.165463 0.034465
1268594675.356754 33.549999 -0.006100 -0.162931 0.025315
1268594675.456761 33.549999 -0.082350 -0.168025 -0.050935
1268594675.556767 33.549999 -0.070150 -0.171898 -0.038735
1268594675.656773 33.549999 -0.042700 -0.173027 -0.011285
1268594675.756781 33.549999 -0.036600 -0.173545 -0.005185
1268594675.856797 33.549999 -0.064050 -0.176809 -0.032635
1268594676.056799 33.549999 -0.054900 -0.179371 -0.023485
1268594676.156806 33.549999 -0.036600 -0.179889 -0.005185
1268594676.256811 33.549999 -0.021350 -0.178883 0.010065
1268594676.356818 33.549999 -0.064050 -0.182146 -0.032635
1268594676.456828 33.549999 -0.064050 -0.185410 -0.032635
1268594676.556833 33.549999 -0.021350 -0.184403 0.010065
1268594676.656844 33.549999 -0.079300 -0.189192 -0.047885
1268594676.756846 33.549999 -0.009150 -0.186965 0.022265
1268594676.856853 33.549999 -0.018300 -0.185654 0.013115
1268594676.956858 33.549999 -0.039650 -0.186477 -0.008235
1268594677.056937 33.549999 -0.021350 -0.185471 0.010065
1268594677.256878 33.549999 -0.033550 -0.182848 -0.002135
1268594677.356900 33.549999 -0.009150 -0.180621 0.022265
1268594677.556896 33.549999 0.003050 -0.177998 0.034465
1268594677.656905 33.549999 -0.064050 -0.181262 -0.032635
1268594677.756911 33.549999 -0.042700 -0.182390 -0.011285
1268594677.856926 33.549999 -0.067100 -0.185959 -0.035685
1268594678.056930 33.549999 -0.051850 -0.188826 -0.020435
1268594678.156937 33.549999 -0.036600 -0.189344 -0.005185
1268594678.256943 33.549999 -0.033550 -0.189558 -0.002135
1268594678.356957 33.549999 -0.033550 -0.189771 -0.002135
1268594678.456959 33.549999 -0.021350 -0.188765 0.010065
1268594678.556964 33.549999 -0.018300 -0.187453 0.013115
1268594678.656968 33.549999 -0.024400 -0.186752 0.007015
1268594678.756976 33.549999 -0.073200 -0.190930 -0.041785
1268594678.856983 33.549999 -0.088450 -0.196634 -0.057035
1268594678.957026 33.549999 -0.036600 -0.197152 -0.005185
1268594679.057061 33.549999 -0.018300 -0.195841 0.013115
1268594679.257016 33.549999 -0.024400 -0.194133 0.007015
1268594679.457021 33.549999 -0.064050 -0.196390 -0.032635
1268594679.557042 33.549999 0.003050 -0.192943 0.034465
1268594679.757041 33.549999 -0.012200 -0.194285 0.019215
1268594679.857046 33.549999 -0.057950 -0.196939 -0.026535
1268594679.957054 33.549999 -0.039650 -0.197762 -0.008235
1268594680.057065 33.549999 0.006100 -0.194011 0.037515
1268594680.157066 33.549999 -0.021350 -0.193004 0.010065
1268594680.257073 33.549999 -0.027450 -0.192608 0.003965
1268594680.357080 33.549999 -0.006100 -0.190076 0.025315
1268594680.457088 33.549999 -0.027450 -0.189680 0.003965
1268594680.557108 33.549999 -0.054900 -0.192028 -0.023485
1268594680.757110 33.549999 -0.048800 -0.191235 -0.017385
1268594680.857116 33.549999 -0.003050 -0.188399 0.028365
1268594680.957120 33.549999 -0.033550 -0.188612 -0.002135
1268594681.057174 33.549999 -0.057950 -0.191266 -0.026535
1268594681.258002 33.549999 -0.048800 -0.191083 -0.017385
1268594681.457153 33.549999 -0.051850 -0.192425 -0.020435
1268594681.557158 33.549999 -0.039650 -0.193248 -0.008235
1268594681.657167 33.549999 0.009150 -0.189192 0.040565
1268594681.757199 33.549999 -0.006100 -0.186660 0.025315
1268594681.957187 33.549999 -0.039650 -0.187087 -0.008235
1268594682.057192 33.549999 -0.042700 -0.188216 -0.011285
1268594682.157209 33.549999 -0.064050 -0.191479 -0.032635
1268594682.357212 33.549999 0.003050 -0.187636 0.034465
1268594682.457217 33.549999 -0.003050 -0.184800 0.028365
1268594682.557223 33.599998 -0.024400 -0.184098 0.007015
1268594682.657231 33.599998 -0.012200 -0.182177 0.019215
1268594682.757237 33.549999 -0.042700 -0.183305 -0.011285
1268594682.857244 33.549999 -0.033550 -0.183519 -0.002135
1268594682.957265 33.549999 -0.070150 -0.187392 -0.038735
1268594683.057319 33.549999 -0.021350 -0.186386 0.010065
1268594683.257269 33.549999 -0.009150 -0.184373 0.022265
1268594683.357277 33.549999 -0.048800 -0.186111 -0.017385
1268594683.469298 33.549999 -0.048800 -0.187850 -0.017385
1268594683.657297 33.549999 0.009150 -0.182787 0.040565
1268594683.757305 33.549999 -0.024400 -0.182085 0.007015
1268594683.857309 33.549999 -0.054900 -0.184434 -0.023485
1268594683.957317 33.549999 -0.018300 -0.183122 0.013115
1268594684.057324 33.549999 -0.064050 -0.186386 -0.032635
1268594684.157330 33.549999 -0.064050 -0.189649 -0.032635
1268594684.257336 33.549999 -0.024400 -0.188948 0.007015
1268594684.357344 33.549999 -0.036600 -0.189466 -0.005185
1268594684.457349 33.549999 -0.027450 -0.189070 0.003965
1268594684.557365 33.549999 -0.082350 -0.194163 -0.050935
1268594684.757367 33.549999 -0.033550 -0.196115 -0.002135
1268594684.857374 33.549999 -0.042700 -0.197244 -0.011285
1268594684.957381 33.549999 -0.036600 -0.197762 -0.005185
1268594685.057438 33.549999 -0.051850 -0.199806 -0.020435
1268594685.257400 33.549999 -0.051850 -0.202978 -0.020435
1268594685.357407 33.549999 -0.057950 -0.205631 -0.026535
1268594685.457413 33.549999 -0.036600 -0.206150 -0.005185
1268594685.557422 33.549999 -0.057950 -0.208803 -0.026535
1268594685.657629 33.549999 -0.021350 -0.207797 0.010065
1268594685.857438 33.549999 -0.051850 -0.212494 -0.020435
1268594685.957445 33.549999 -0.067100 -0.216062 -0.035685
1268594686.057452 33.549999 0.003050 -0.212616 0.034465
1268594686.157473 33.549999 -0.070150 -0.216489 -0.038735
1268594686.357472 33.549999 0.015250 -0.212646 0.046665
1268594686.457479 33.549999 -0.042700 -0.213775 -0.011285
1268594686.557485 33.549999 -0.027450 -0.213378 0.003965
1268594686.657492 33.549999 -0.024400 -0.212677 0.007015
1268594686.757501 33.549999 -0.064050 -0.215940 -0.032635
1268594686.857505 33.549999 -0.021350 -0.214934 0.010065
1268594686.957511 33.549999 -0.057950 -0.217587 -0.026535
1268594687.057571 33.549999 -0.039650 -0.218411 -0.008235
1268594687.257530 33.549999 -0.021350 -0.220058 0.010065
1268594687.357537 33.549999 -0.021350 -0.219051 0.010065
1268594687.457543 33.549999 -0.012200 -0.217130 0.019215
1268594687.557549 33.549999 -0.064050 -0.220393 -0.032635
1268594687.657573 33.549999 -0.201300 -0.237382 -0.169885
1268594687.858448 33.549999 1.238300 -0.442159 1.269715
1268594688.057583 33.549999 -0.985150 -0.582581 -0.953735
1268594688.157592 33.549999 -0.024400 -0.581879 0.007015
1268594688.257596 33.549999 -1.348100 -0.713548 -1.316685
1268594688.357620 33.549999 -1.628700 -0.873276 -1.597285
1268594688.457625 33.549999 -1.592100 -1.029345 -1.560685
1268594688.657622 33.549999 -2.360700 -1.491847 -2.329285
1268594688.757628 33.549999 -2.534550 -1.742160 -2.503135
1268594688.857649 33.549999 -2.815150 -2.020534 -2.783735
1268594689.057711 33.549999 -2.473550 -2.524516 -2.442135
1268594689.257662 33.549999 -2.748050 -3.074248 -2.716635
1268594689.357678 33.549999 -2.723650 -3.343471 -2.692235
1268594689.557681 33.549999 -2.357650 -3.809633 -2.326235
1268594689.657688 33.549999 -1.152900 -3.921781 -1.121485
1268594689.757695 33.549999 -2.406450 -4.159285 -2.375035
1268594689.857702 33.549999 -2.321050 -4.388248 -2.289635
1268594689.957707 33.549999 -1.851350 -4.570242 -1.819935
1268594690.057715 33.549999 -2.741950 -4.841295 -2.710535
1268594690.157721 33.549999 -2.479650 -5.086119 -2.448235
1268594690.257728 33.549999 -2.708400 -5.353817 -2.676985
1268594690.357736 33.549999 -3.678300 -5.718506 -3.646885
1268594690.457742 33.549999 -2.330200 -5.948384 -2.298785
1268594690.557761 33.549999 -2.098400 -6.155083 -2.066985
1268594690.757760 33.549999 4.083950 -5.913035 4.115365
1268594690.857766 33.549999 3.565450 -5.553348 3.596865
1268594691.053814 33.549999 2.967650 -4.991660 2.999065
1268594691.157785 33.549999 1.625650 -4.825954 1.657065
1268594691.257793 33.549999 0.707600 -4.752052 0.739015
1268594691.357799 33.549999 0.552050 -4.693706 0.583465
1268594691.457806 33.549999 -0.677100 -4.758274 -0.645685
1268594691.657820 33.549999 -0.683200 -4.863316 -0.651785
1268594691.757827 33.549999 -0.314150 -4.891590 -0.282735
1268594691.857832 33.549999 -1.101050 -4.998553 -1.069635
1268594692.053862 33.549999 -0.603900 -5.117015 -0.572485
1268594692.253860 33.549999 -2.101450 -5.379437 -2.070035
1268594692.353867 33.549999 -1.399950 -5.516291 -1.368535
1268594692.453871 33.549999 -1.961150 -5.709264 -1.929735
1268594692.553880 33.549999 -1.503650 -5.856488 -1.472235
1268594692.653886 33.549999 -0.902800 -5.943626 -0.871385
1268594692.753892 33.549999 -1.155950 -6.056080 -1.124535
1268594692.853900 33.549999 -0.558150 -6.108753 -0.526735
1268594692.953905 33.549999 -2.131950 -6.318807 -2.100535
1268594693.053911 33.549999 -0.857050 -6.401370 -0.825635
1268594693.153918 33.549999 -1.579900 -6.556219 -1.548485
1268594693.253924 33.549999 -1.183400 -6.671417 -1.151985
1268594693.353932 33.549999 -0.722850 -6.740561 -0.691435
1268594693.453938 33.549999 -0.265350 -6.763954 -0.233935
1268594693.553945 33.549999 0.201300 -6.740683 0.232715
1268594693.653950 33.549999 0.179950 -6.719546 0.211365
1268594693.753959 33.549999 1.101050 -6.606300 1.132465
1268594693.853965 33.549999 5.541850 -6.048973 5.573265
1268594693.953971 33.549999 4.077850 -5.638047 4.109265
1268594694.053979 33.549999 3.376350 -5.297270 3.407765
1268594694.153984 33.549999 3.464800 -4.947649 3.496215
1268594694.254007 33.549999 2.534550 -4.691053 2.565965
1268594694.454002 33.549999 2.741950 -4.162305 2.773365
1268594694.554010 33.549999 1.964200 -3.962743 1.995615
1268594694.654016 33.549999 1.848300 -3.774772 1.879715
1268594694.754051 33.549999 0.439200 -3.727710 0.470615
1268594694.954036 33.549999 -0.719800 -3.827872 -0.688385
1268594695.054042 33.549999 -1.101050 -3.934836 -1.069635
1268594695.154049 33.549999 -0.073200 -3.939014 -0.041785
1268594695.254071 33.549999 0.768600 -3.859013 0.800015
1268594695.454068 33.549999 1.689700 -3.639840 1.721115
1268594695.554074 33.549999 0.817400 -3.554958 0.848815
1268594695.654081 33.549999 0.024400 -3.549377 0.055815
1268594695.754090 33.549999 -0.100650 -3.556300 -0.069235
1268594695.854095 33.549999 -1.375550 -3.690714 -1.344135
1268594695.954113 33.549999 -0.817400 -3.769312 -0.785985
1268594696.154115 33.549999 -0.576450 -3.868864 -0.545035
1268594696.254123 33.549999 0.082350 -3.857488 0.113765
1268594696.354127 33.549999 0.335500 -3.820796 0.366915
1268594696.454137 33.549999 -0.100650 -3.827720 -0.069235
1268594696.554141 33.549999 -0.893650 -3.913943 -0.862235
1268594696.654147 33.549999 -0.478850 -3.958687 -0.447435
1268594696.754153 33.549999 -0.936350 -4.049180 -0.904935
1268594696.854159 33.549999 0.512400 -3.994799 0.543815
1268594696.954167 33.549999 0.204350 -3.971222 0.235765
1268594697.054173 33.549999 -0.244000 -3.992481 -0.212585
1268594697.154179 33.599998 -0.240950 -4.013434 -0.209535
1268594697.254186 33.599998 -0.536800 -4.063973 -0.505385
1268594697.354193 33.549999 -0.048800 -4.065711 -0.017385
1268594697.454200 33.549999 -0.863150 -4.148885 -0.831735
1268594697.554213 33.549999 0.088450 -4.136898 0.119865
1268594697.754219 33.599998 -0.356850 -4.158980 -0.325435
1268594697.854225 33.599998 -0.039650 -4.159804 -0.008235
1268594697.954232 33.549999 -0.799100 -4.236572 -0.767685
1268594698.054238 33.549999 -1.131550 -4.346586 -1.100135
1268594698.154246 33.549999 -1.256600 -4.469104 -1.225185
1268594698.254266 33.549999 -1.500600 -4.616023 -1.469185
1268594698.454264 33.549999 -0.436150 -4.730215 -0.404735
1268594698.561630 33.549999 -0.805200 -4.807593 -0.773785
1268594698.754284 33.549999 -0.786900 -4.983090 -0.755485
