0.0108827,3.41719e-05
0.021765,0.000136791
0.0326465,0.000307753
0.0435266,0.00054706
0.054405,0.00085471
0.0652813,0.0012307
0.076155,0.00167504
0.0870257,0.00218762
0.097893,0.00276864
0.108756,0.00341781
0.119615,0.00413521
0.13047,0.00492095
0.141319,0.00577474
0.152163,0.00669676
0.163,0.00768691
0.173832,0.00874511
0.184656,0.00987133
0.195473,0.0110655
0.206282,0.0123277
0.217083,0.0136577
0.227876,0.0150556
0.23866,0.0165213
0.249434,0.0180547
0.260198,0.0196557
0.270952,0.0213244
0.281696,0.0230606
0.292428,0.0248643
0.303149,0.0267353
0.313858,0.0286737
0.324554,0.0306794
0.335238,0.0327522
0.345908,0.0348921
0.356565,0.037099
0.367207,0.0393728
0.377835,0.0417134
0.388448,0.0441207
0.399046,0.0465947
0.409628,0.0491353
0.420194,0.0517423
0.430744,0.0544157
0.441276,0.0571552
0.451791,0.0599608
0.462288,0.0628325
0.472767,0.06577
0.483227,0.0687734
0.493668,0.0718424
0.50409,0.074977
0.514491,0.078177
0.524873,0.0814423
0.535233,0.0847727
0.545573,0.0881682
0.555891,0.0916285
0.566187,0.0951536
0.576461,0.0987434
0.586712,0.102398
0.596939,0.106116
0.607143,0.109899
0.617324,0.113746
0.62748,0.117656
0.637611,0.121631
0.647717,0.125669
0.657797,0.12977
0.667851,0.133935
0.677879,0.138163
0.687881,0.142453
0.697855,0.146807
0.707801,0.151223
0.71772,0.155701
0.72761,0.160242
0.737472,0.164845
0.747304,0.169509
0.757107,0.174235
0.76688,0.179023
0.776623,0.183872
0.786335,0.188783
0.796016,0.193754
0.805666,0.198785
0.815284,0.203878
0.824869,0.209031
0.834422,0.214243
0.843942,0.219516
0.853429,0.224849
0.862882,0.230241
0.872301,0.235692
0.881686,0.241202
0.891036,0.246771
0.90035,0.252399
0.909629,0.258085
0.918872,0.26383
0.928079,0.269632
0.93725,0.275492
0.946383,0.28141
0.955479,0.287385
0.964537,0.293417
0.973557,0.299505
